OBJECTID,GEOID_20,GROSS_ACRES,ACRES_LAND,ACRES_WATER,TRBL_STR,NAME,TRACT_NUMB,TRACT_LABEL,WATER,VILLNUMB,VILLNAME,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,COUNCIL_DIST_13,COUNCIL_DIST_24,Shape__Area,Shape__Length
7580,530330105011001,5.06989880110957,5.07010821,0,10501.1001,Block 1001,10501,105.01,0,205,West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,220845.675186157,1990.54872076026
7581,530330105012010,4.86734657960955,4.86748179,0,10501.2010,Block 2010,10501,105.01,0,0,Outside Villages,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,212022.465087891,1962.85112865827
7582,530330105023006,4.86394755784512,4.86402232,0,10502.3006,Block 3006,10502,105.02,0,0,Outside Villages,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,211874.403106689,1962.21269053454
7583,530330105013007,1.87437849823217,1.87454142,0,10501.3007,Block 3007,10501,105.01,0,205,West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,81648.2539672852,1338.79693113339
7584,530330105012009,5.02516425910694,5.02538213,0,10501.2009,Block 2009,10501,105.01,0,0,Outside Villages,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,218897.030731201,1983.52253187164
7585,530330105012002,19.578377309631,19.57890065,0,10501.2002,Block 2002,10501,105.01,0,0,Outside Villages,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,852837.526947021,5031.05607026061
7586,530330105023007,5.46884130539549,5.46893629,0,10502.3007,Block 3007,10502,105.02,0,0,Outside Villages,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,1,238223.680145264,2041.87369903264
7587,530330106011009,5.46944650453154,5.46967761,0,10601.1009,Block 1009,10601,106.01,0,206,Morgan Junction,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,238250.042709351,2041.95786897413
7588,530330106011010,4.86504908952215,4.86525785,0,10601.1010,Block 1010,10601,106.01,0,206,Morgan Junction,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,211922.386016846,1962.17290343875
7589,530330106011005,4.53438070151574,4.53438374,0,10601.1005,Block 1005,10601,106.01,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,197518.413421631,1856.46947456283
7590,530330106011011,4.86198355114075,4.86204548,0,10601.1011,Block 1011,10601,106.01,0,206,Morgan Junction,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,211788.850631714,1961.67981495454
7591,530330106011001,5.0522745346821,5.05231662,0,10601.1001,Block 1001,10601,106.01,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,220077.959014893,1989.38145254129
7592,530330106023012,4.78995441912558,4.79013781,0,10602.3012,Block 3012,10602,106.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,208651.249084473,1952.45806519086
7593,530330106023010,5.5426713343581,5.5428208,0,10602.3010,Block 3010,10602,106.02,0,206,Morgan Junction,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,241439.729064941,2051.62156952208
7594,530330106021019,3.0693810141731,3.06954304,0,10602.1019,Block 1019,10602,106.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,133702.77180481,1465.284588381
7595,530330106023011,4.86524963639379,4.86525785,0,10602.3011,Block 3011,10602,106.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,211931.121902466,1962.20451118306
7596,530330106021018,0.49799785892694,0.49791734,0,10602.1018,Block 1018,10602,106.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,21692.8735046387,601.858682817769
7597,530330106021022,1.72566506370601,1.72578398,0,10602.1022,Block 1022,10602,106.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,75170.2708435059,1129.40512805425
7598,530330106021020,2.51278516381059,2.51281462,0,10602.1020,Block 1020,10602,106.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,109457.359588623,1364.62678134178
7599,530330106021009,2.36896302013849,2.36899929,0,10602.1009,Block 1009,10602,106.02,0,0,Outside Villages,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,103192.44190979,1415.09743702136
7600,530330106021012,3.62937591990855,3.62948384,0,10602.1012,Block 1012,10602,106.02,0,206,Morgan Junction,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,1,158096.247406006,1624.74831650452
